employee_id,first_name,last_name,date_of_birth,email,phone_number,hire_date,job_title,department,manager_id,blood_status,wand_core,magical_rank,is_active,salary_galleons,performance_score,spell_efficiency,charm_accuracy,years_of_experience
86,VFronica,Allen,1888-08-09,rosejames@torres.com,(302)059-3274x39863,2010-01-05,Junior Spell Crafter,Mystical Logistics,12.0,Squib,Mysterious Core,Master,False,3500,5,5,8,1
87,Erin,Reese,1865-10-22,christopherbrown@yahoo.com,+1-936-497-7984x2056,2020-11-13,Junior Spell Crafter,Wand Engineering,38.0,Unknown,Dragon Heartstring,Intern,True,3290,6,10,7,2
88,Brian,Reed,1971-07-14,rosschristina@spears.net,(654)408-6018x874,2006-03-02,Wand Safety Officer,Wand Engineering,22.0,Squib,Veela Hair,Intern,False,2693,10,10,8,15
89,Dean,Johnson,1945-02-10,nancybenton@williams.biz,915-185-1578,2022-10-24,Wand Safety Officer,Magical Security,7.0,Pureblood,Mysterious Core,Apprentice,False,596,1,1,5,25
90,Terri,EdwaSds,1816-01-19,,525.951.5744,2007-05-05,Potions Intern,HR & Muggle Relations,39.0,Half-blood,Phoenix Feather,Intern,True,4264,10,4,4,7
91,Jillian,Bennett,2003-04-22,jenniferdaniels@anderson.com,4098899336,2009-06-01,Senior Enchanter,Magical Security,39.0,Squib,Dragon Heartstring,Intern,True,526,8,9,1,12
92,Amy,White,1892-08-11,sara88@hotmail.com,624.730.5728,2007-08-20,Wand Safety Officer,Wand Engineering,22.0,Pureblood,Veela Hair,Intern,False,3754,10,8,1,3
93,SQephen,Wolfe,1899-07-23,caldwellalicia@yahoo.com,123.104.8797,2008-01-04,Junior Spell Crafter,HR & Muggle Relations,12.0,Squib,Mysterious Core,Consultant,False,4020,7,8,9,2
94,Ierri,Perez,1772-07-09,diana01@ryan.com,(253)180-9173x2698,2006-05-10,Potions Intern,Magical Security,44.0,Half-blood,Unicorn Hair,Master,True,2716,9,6,2,22
95,Sara,Johnson,1803-02-03,,+1-657-869-7193x3387,2011-06-29,Junior Spell Crafter,Spellcrafting,27.0,Half-blood,Unknown,Apprentice,True,1667,9,6,2,8
96,Paul,Yang,1800-07-13,fcole@key.net,001-654-556-8772x9218,2016-04-18,Master of Charms,Spellcrafting,2.0,Pureblood,Thestral Tail Hair,Consultant,False,1806,3,9,2,18
97,Gary,Bruce,1781-05-01,melanie73@gibson.biz,768-902-2811x98001,2012-06-14,Master of Charms,Spellcrafting,15.0,Squib,Dragon Heartstring,Apprentice,False,3469,2,4,4,0
98,Jenny,Wilson,1924-02-05,eadams@hotmail.com,9674886573,2023-01-27,Wand Safety Officer,Wand Engineering,49.0,Pureblood,Thestral Tail Hair,Master,False,2578,2,3,9,24
99,James,Torres,1810-07-19,piercegabriela@yahoo.com,+1-358-875-0845x184,2006-07-30,Junior Spell Crafter,Potion Research,16.0,Unknown,Thestral Tail Hair,Consultant,True,4501,5,4,10,18
100,Sarah,Jones,1741-12-24,david77@gmail.com,885.814.9215,2005-05-23,Potions Intern,Spellcrafting,33.0,Squib,Veela Hair,Consultant,True,2358,9,8,1,11
101,David,Miller,1890-06-25,tatekim@williams.info,+1-510-771-1530x8962,2015-12-25,Senior Enchanter,Magical Security,29.0,Pureblood,Thestral Tail Hair,Apprentice,False,563,2,6,4,7
102,Christopher,Price,1739-12-10,monicastewart@hotmail.com,+1-734-971-1207x9139,2010-01-17,Master of Charms,HR & Muggle Relations,15.0,Unknown,Dragon Heartstring,Master,False,1447,2,1,9,10
103,Janet,Perry,1947-07-22,bianca81@brown-bush.biz,001-586-922-4008x09614,2028-13-40,Magical HR Specialist,Wand Engineering,24.0,Squib,Unicorn Hair,Adept,False,3937,5,3,6,2
104,Pamela,Maldonado,1789-04-17,rwilliams@gmail.com,164.967.9666x0128,2009-08-24,Wand Safety Officer,Magical Security,44.0,Unknown,Unicorn Hair,Adept,False,3945,5,2,5,8
105,Donald,Allen,1824-02-14,,(436)241-4202,2011-02-19,Junior Spell Crafter,Wand Engineering,12.0,Half-blood,Thestral Tail Hair,Master,True,4077,7,6,8,25
106,Douglas,Horne,1832-12-27,,329.474.3758,2023-07-02,Master of Charms,Wand Engineering,50.0,Pureblood,Unknown,Apprentice,True,1554,1,3,2,15
107,Erica,Briggs,1862-11-09,brianstephens@hotmail.com,+1-548-191-7470x5056,2022-06-26,Senior Enchanter,Mystical Logistics,27.0,Unknown,Unknown,Master,False,1187,4,2,10,21
108,Laura,Acosta,1930-12-25,robertscott@rogers.net,+1-121-788-9933x71749,2022-11-12,Magical HR Specialist,Magical Security,16.0,Half-blood,Unicorn Hair,Adept,False,3354,2,6,8,5
109,Beth,Miles,1773-06-08,,963.848.5880x33210,2010-08-30,Master of Charms,Potion Research,5.0,Unknown,Unknown,Master,False,3464,3,6,9,7
110,Cynthia,Ewlng,1728-07-14,stephaniefrazier@hotmail.com,001-628-928-7553,2023-12-28,Senior Enchanter,Magical Security,42.0,Pureblood,Dragon Heartstring,Master,True,2828,10,9,6,11
111,Eric,Curtis,1820-01-21,brad78@crawford-webb.com,6617290827,2006-03-09,Senior Enchanter,Potion Research,44.0,Muggle-born,Phoenix Feather,Adept,True,2019,1,5,6,21
112,AXanda,Lopez,1914-03-03,ronaldgrimes@dunn.net,(456)689-8181,2025-01-26,Senior Enchanter,Mystical Logistics,25.0,Muggle-born,Phoenix Feather,Consultant,True,3505,4,6,4,16
113,Troy,Jackson,1947-09-02,davidmccoy@simmons.net,512-250-0332x6613,2007-08-23,Wand Safety Officer,Potion Research,6.0,Half-blood,Mysterious Core,Adept,False,1661,2,9,3,20
114,Arron,Jackson,1811-10-10,hmedina@williams.com,355-190-6571x2594,2006-07-14,Junior Spell Crafter,Potion Research,34.0,Half-blood,Mysterious Core,Apprentice,True,750,2,1,4,6
115,Chad,Smith,1727-03-01,williamsleah@walker.com,9050026443,2023-12-27,Magical HR Specialist,Mystical Logistics,8.0,Half-blood,Thestral Tail Hair,Apprentice,True,2179,7,3,3,4
116,Valerie,Jones,1817-09-08,lindsaymiller@olson.com,(511)239-2751,2007-04-23,Senior Enchanter,Mystical Logistics,12.0,Half-blood,Unicorn Hair,Adept,False,1249,6,5,5,23
117,Anthony,Washington,1996-12-08,obrienmadison@pennington.com,001-784-189-3494x587,2018-09-21,Junior Spell Crafter,HR & Muggle Relations,17.0,Half-blood,Unicorn Hair,Master,True,906,9,6,8,25
118,Nancy,Riggs,1768-01-01,davidrodriguez@williams.org,+1-447-233-9132x7997,2023-09-19,Potions Intern,Mystical Logistics,3.0,Unknown,Unknown,Consultant,True,4188,2,4,7,17
119,Dawn,Cox,1897-08-21,troy24@adams-martin.com,(037)297-7574x0299,2028-13-40,Junior Spell Crafter,Magical Security,7.0,Unknown,Unknown,Intern,True,1545,7,3,5,22
120,Tammy,Garcia,1814-10-13,cindygomez@yahoo.com,235.959.8269,2016-10-11,Master of Charms,Potion Research,37.0,Half-blood,Phoenix Feather,Consultant,False,4484,9,1,2,6
121,Caboline,Koch,1848-07-17,,323-600-4659,2023-05-24,Magical HR Specialist,Mystical Logistics,43.0,Pureblood,Dragon Heartstring,Apprentice,False,509,5,3,10,20
122,Benjamin,Brown,1952-12-16,eatonkelsey@murray.com,433-129-8268x28351,2005-06-21,Master of Charms,Potion Research,37.0,Half-blood,Veela Hair,Intern,True,4640,6,7,4,14
123,Anna,Rosales,1868-02-29,sfitzgerald@mcdaniel.com,001-812-651-8417,2007-08-11,Junior Spell Crafter,Magical Security,23.0,Squib,Dragon Heartstring,Apprentice,True,2299,3,5,10,12
124,Jessica,Mosley,1901-02-23,michellebernard@gmail.com,001-684-024-4916,2014-06-13,Potions Intern,HR & Muggle Relations,49.0,Unknown,Thestral Tail Hair,Intern,False,3306,1,2,5,8
125,Kelly,Gomez,1958-11-21,mark82@hotmail.com,168.486.9475x5003,2011-09-17,Junior Spell Crafter,Spellcrafting,32.0,Unknown,Veela Hair,Apprentice,False,3951,1,7,4,25
126,Monique,Key,1802-10-09,theresasmith@gmail.com,001-155-481-6289x45374,2024-07-14,Potions Intern,Spellcrafting,24.0,Pureblood,Phoenix Feather,Adept,False,1470,4,1,3,1
127,Theresa,Williams,1861-09-09,,8497688121,2013-10-27,Magical HR Specialist,Spellcrafting,49.0,Pureblood,Mysterious Core,Apprentice,True,2576,1,4,1,9
128,ChrLstina,jill,1839-11-20,lopezmichael@golden.biz,661-479-3695x69433,2007-10-31,Magical HR Specialist,Magical Security,31.0,Muggle-born,Unicorn Hair,Consultant,False,1393,10,2,8,2
129,Maxwell,aarey,1784-06-14,,,2019-01-28,Magical HR Specialist,HR & Muggle Relations,37.0,Unknown,Unicorn Hair,Adept,True,4460,1,5,7,23
130,Jeffrey,Lopez,1864-05-27,dbrooks@jarvis-jones.com,+1-245-831-6680x7688,2012-02-28,Senior Enchanter,Mystical Logistics,19.0,Half-blood,Phoenix Feather,Intern,True,4971,7,5,6,0
131,Richard,Gomez,1751-02-17,ygallagher@yahoo.com,(021)770-0207,2028-13-40,Master of Charms,HR & Muggle Relations,47.0,Pureblood,Phoenix Feather,Intern,True,3685,7,3,4,21
132,Mark,Hernandez,1786-03-14,mcneiljeffrey@perez.biz,426-388-2693,2015-04-26,Junior Spell Crafter,Spellcrafting,25.0,Half-blood,Thestral Tail Hair,Master,False,1639,1,9,8,9
133,Leon,Jimenez,1944-08-09,debra61@gmail.com,755-132-2090x6014,2014-01-14,Magical HR Specialist,Wand Engineering,20.0,Half-blood,Thestral Tail Hair,Master,False,1903,1,1,7,18
134,Steven,Scott,1886-07-02,anthony39@li.com,047-869-3627x558,2015-08-17,Senior Enchanter,Spellcrafting,19.0,Unknown,Unknown,Intern,False,1282,4,5,1,0
135,Catherine,Durham,1941-11-25,clarkkimberly@woodward.net,6842909704,2025-03-02,Magical HR Specialist,Mystical Logistics,11.0,Half-blood,Dragon Heartstring,Apprentice,True,3016,8,10,8,17
136,Cynthia,Nurns,1732-07-25,kimberlyberger@fritz.com,(398)984-2341x488,2023-11-26,Potions Intern,Mystical Logistics,44.0,Muggle-born,Dragon Heartstring,Consultant,True,1205,1,5,1,1
137,Jonathan,Anderson,1822-04-28,kaitlin75@yahoo.com,+1-270-841-6302x543,2022-11-17,Magical HR Specialist,Spellcrafting,27.0,Pureblood,Dragon Heartstring,Consultant,False,4187,7,9,3,14
138,Cynthia,White,1839-02-11,craigcrystal@hotmail.com,(509)978-3032,2020-01-12,Wand Safety Officer,Potion Research,26.0,Squib,Veela Hair,Master,False,4676,6,5,6,15
139,BrSndan,Anthony,1841-05-31,stevenevans@payne.com,+1-732-550-0389x174,2013-02-14,Master of Charms,Spellcrafting,43.0,Squib,Unicorn Hair,Intern,False,1476,5,10,3,18
140,Rebecca,Villegas,1988-06-03,ashleycain@mason.info,259.411.5348,2011-03-12,Junior Spell Crafter,Mystical Logistics,12.0,Pureblood,Unknown,Adept,True,1381,4,2,5,1
141,Mary,Bryan,1740-10-10,emilyhensley@yahoo.com,001-109-430-6729x9957,2018-07-26,Potions Intern,Wand Engineering,6.0,Unknown,Unicorn Hair,Intern,False,1676,6,4,5,9
142,Frederick,Brown,1979-06-04,ereyes@gmail.com,+1-436-292-9392x0191,2015-05-29,Wand Safety Officer,Potion Research,12.0,Pureblood,Unknown,Consultant,False,4391,6,6,4,19
